,station,time,lat,lon,y,x,bathy,u_water,v_water,u_wind,v_wind,temp,salinity,surface_elev
0,8729108 Panama City,2019-10-02 19:59:52.968750,30.122159957885742,274.26678466796875,5556146.0,1529913.625,15.54640007019043,0.03021496720612049,0.07582609355449677,0.076320119202137,0.9541400671005249,29.307781219482422,34.80649948120117,0.21828460693359375
1,"8729501 Valparaiso,",2019-10-02 19:59:52.968750,30.484710693359375,273.52734375,5589219.5,1455070.0,3.3910000324249268,0.01731298863887787,-0.005488786846399307,-0.8456747531890869,1.2522597312927246,30.564430236816406,20.085567474365234,0.18144690990447998
2,"8729840 Pensacola, ",2019-10-02 19:59:52.968750,30.402843475341797,272.7876281738281,5573601.5,1385037.75,8.359999656677246,-0.028647974133491516,0.042497001588344574,-0.9845568537712097,2.906885862350464,30.506366729736328,26.035985946655273,0.17285004258155823
3,8729941 Blue Angles,2019-10-02 19:59:52.968750,30.301612854003906,272.6007080078125,5560811.0,1368104.0,5.11899995803833,-0.12621672451496124,-0.01610436849296093,-2.4951725006103516,1.631046175956726,30.556547164916992,32.837242126464844,0.217054545879364
4,8731439 Gulf Shores,2019-10-02 19:59:52.968750,30.24783706665039,272.3187255859375,5552506.0,1341550.375,6.381999969482422,-0.3007705509662628,-0.02735244482755661,-3.339373826980591,1.391479253768921,30.563961029052734,33.655784606933594,0.21680495142936707
5,"8732828 Weeks Bay, ",2019-10-02 19:59:52.968750,30.37752914428711,272.1572265625,5565531.5,1324825.125,3.0,0.021869158372282982,-0.004975555930286646,0.21067598462104797,1.0611333847045898,31.148223876953125,17.918737411499023,0.1862715631723404
6,8735181 Dauphin Is ,2019-10-02 19:59:52.968750,30.250030517578125,271.9248352050781,5549556.5,1303697.25,3.0,0.15307411551475525,0.3624231815338135,-2.298468589782715,2.861832618713379,30.451005935668945,22.247156143188477,0.14919957518577576
7,"8736897 CG Mobile, ",2019-10-02 19:59:52.968750,30.644760131835938,271.9434509277344,5593390.0,1301862.125,3.0,-0.0497308075428009,-0.029998907819390297,-1.5353407859802246,1.820823073387146,30.55097770690918,2.124835968017578,0.22715212404727936
8,8737048 Mobile St D,2019-10-02 19:59:52.968750,30.677701950073242,271.9854431152344,5597370.5,1305577.625,4.544000148773193,-0.02341769076883793,-0.009008272551000118,-0.49744728207588196,2.657951593399048,30.08739471435547,0.35650771856307983,0.2271471470594406
9,8741041 Pascagoula ,2019-10-02 19:59:52.968750,30.334470748901367,271.48291015625,5555462.5,1260498.875,12.644000053405762,-0.06682753562927246,0.05134500563144684,-2.455073356628418,2.792725086212158,30.775991439819336,27.23204231262207,0.2098003327846527
10,8741533 Pascagoula ,2019-10-02 19:59:52.968750,30.343156814575195,271.4366455078125,5556072.5,1255980.875,7.318999767303467,-0.052608173340559006,-0.015295200049877167,-2.0463528633117676,2.890350341796875,30.715730667114258,26.738527297973633,0.2103343904018402
11,8745557 Gulfport Ha,2019-10-02 19:59:52.968750,30.367366790771484,270.9154357910156,5554908.5,1205731.875,3.0,-0.035733602941036224,-0.004834695719182491,-1.5619804859161377,3.3476665019989014,30.54496192932129,19.43773651123047,0.19169512391090393
12,8747437 Bay Wavelan,2019-10-02 19:59:52.968750,30.322189331054688,270.6742858886719,5548197.0,1182939.875,3.0,-0.027416367083787918,0.05577300116419792,-1.0776156187057495,3.046377182006836,30.528913497924805,11.506629943847656,0.15991730988025665
13,8761305 Shell Beach,2019-10-02 19:59:52.968750,29.865243911743164,270.3265075683594,5495210.5,1153069.75,3.0,-0.03342009335756302,0.004445075057446957,-2.9621827602386475,-1.2768856287002563,30.25926971435547,0.5256283283233643,0.0075802975334227085
14,"8760922 Pilots Sta,",2019-10-02 19:59:52.968750,28.930145263671875,270.59686279296875,5393605.5,1186625.25,5.297999858856201,-0.26346728205680847,-0.27087241411209106,-5.551089286804199,-1.580411434173584,28.72742462158203,22.372283935546875,0.16601625084877014
15,"8761724 Grand Isle,",2019-10-02 19:59:52.968750,29.264535903930664,270.0484313964844,5426867.5,1130746.875,3.0390000343322754,-0.06126261129975319,-0.08997701108455658,-5.073936462402344,-1.5043063163757324,29.5462589263916,23.593608856201172,0.12283606082201004
16,8762075 Port Fourch,2019-10-02 19:59:52.968750,29.100542068481445,269.8081970214844,5407159.5,1108631.375,4.366000175476074,-0.20927348732948303,-0.12226191908121109,-6.228723049163818,-1.342811942100525,28.947248458862305,27.90223503112793,0.132929727435112
17,"8764277 Lawma, Amer",2019-10-02 19:59:52.968750,29.446081161499023,268.6622619628906,5438586.5,995053.625,3.0,0.0150370504707098,0.05678496137261391,2.3795101642608643,0.4111863076686859,28.454069137573242,0.004999999888241291,0.0827878788113594
18,8765251 Cypremort P,2019-10-02 19:59:52.968750,29.711341857910156,268.1277770996094,5465142.0,941689.875,3.0,0.09837070107460022,-0.12787240743637085,1.0126298666000366,-0.034052930772304535,30.12531089782715,7.2334723472595215,-0.04443547502160072
19,8766072 Freshwater ,2019-10-02 19:59:52.968750,29.532861709594727,267.6938171386719,5443229.0,900681.0625,3.0,-0.021774617955088615,0.0019504440715536475,-1.6526983976364136,1.5671005249023438,29.640897750854492,6.812621116638184,0.18998639285564423
20,"8768094 Calcasieu, ",2019-10-02 19:59:52.968750,29.763681411743164,266.6601257324219,5464308.0,799447.5,3.0,-0.10494611412286758,-0.01883850060403347,-1.6502870321273804,2.747807502746582,29.742389678955078,17.56131935119629,0.19444914162158966
21,8770570 Sabine Pass,2019-10-02 19:59:52.968750,29.69829559326172,266.17315673828125,5455221.0,752605.125,3.0,0.014386423863470554,-0.09497064352035522,-3.782397747039795,1.6545400619506836,28.495262145996094,9.701024055480957,0.17151620984077454
22,"8770613 Morgans Pt,",2019-10-02 19:59:52.968750,29.680479049682617,265.0149841308594,5449606.0,640522.5,7.409999847412109,-0.014003145508468151,-0.09265809506177902,-4.972774982452393,1.8598053455352783,29.3419246673584,3.670834541320801,0.12117329239845276
23,8770743 Battleship ,2019-10-02 19:59:52.968750,29.760578155517578,264.9225769042969,5458244.5,631331.5625,5.86899995803833,-0.0023801815696060658,-0.013006836175918579,-4.20429801940918,-0.5184686183929443,29.703563690185547,0.05363444238901138,0.1296081244945526
